รพ.สต.,ตำบล,หมู่
รพ.สต.บ้านปวนพุ,ปวนพุ,1
รพ.สต.บ้านปวนพุ,ปวนพุ,2
รพ.สต.บ้านปวนพุ,ปวนพุ,3
รพ.สต.บ้านปวนพุ,ปวนพุ,4
รพ.สต.บ้านปวนพุ,ปวนพุ,5
รพ.สต.บ้านหนองหมากแก้ว,ปวนพุ,6
รพ.สต.บ้านหนองหมากแก้ว,ปวนพุ,7
รพ.สต.บ้านปวนพุ,ปวนพุ,8
รพ.สต.บ้านหนองหมากแก้ว,ปวนพุ,9
รพ.สต.บ้านปวนพุ,ปวนพุ,10
รพ.สต.บ้านปวนพุ,ปวนพุ,11
รพ.สต.บ้านหนองหมากแก้ว,ปวนพุ,12
รพ.สต.บ้านปวนพุ,ปวนพุ,13
รพ.สต.บ้านปวนพุ,ปวนพุ,14
รพ.สต.บ้านหนองหมากแก้ว,ปวนพุ,15
สอน.เฉลิมฯ,หนองหิน,1
PCU,หนองหิน,2
สอน.เฉลิมฯ,หนองหิน,3
สอน.เฉลิมฯ,หนองหิน,4
สอน.เฉลิมฯ,หนองหิน,5
สอน.เฉลิมฯ,หนองหิน,6
สอน.เฉลิมฯ,หนองหิน,7
รพ.สต.บ้านหลักร้อยหกสิบ,หนองหิน,8
รพ.สต.บ้านหลักร้อยหกสิบ,หนองหิน,9
รพ.สต.บ้านหลักร้อยหกสิบ,หนองหิน,10
รพ.สต.บ้านหลักร้อยหกสิบ,หนองหิน,11
รพ.สต.บ้านหลักร้อยหกสิบ,หนองหิน,12
สอน.เฉลิมฯ,หนองหิน,13
รพ.สต.บ้านหลักร้อยหกสิบ,หนองหิน,14
รพ.สต.บ้านน้อยสามัคคี,ตาดข่า,1
รพ.สต.บ้านน้อยสามัคคี,ตาดข่า,2
รพ.สต.บ้านน้อยสามัคคี,ตาดข่า,3
รพ.สต.บ้านน้อยสามัคคี,ตาดข่า,4
รพ.สต.บ้านน้อยสามัคคี,ตาดข่า,5
รพ.หนองหิน,ศรีสงคราม,2
รพ.หนองหิน,โคกขมิ้น,2
รพ.หนองหิน,โคกขมิ้น,7
รพ.หนองหิน,โคกขมิ้น,18
รพ.หนองหิน,ท่าช้างคล้อง,2
รพ.หนองหิน,ท่าช้างคล้อง,5
รพ.หนองหิน,ห้วยสีเสียด,8
รพ.หนองหิน,ห้วยสีเสียด,3
รพ.หนองหิน,แขวงสามเสนนอก กทม.,
รพ.หนองหิน,ศรีสงคราม,2
รพ.หนองหิน,ศรีสองรัก,4
รพ.หนองหิน,ผาขาว,5
รพ.หนองหิน,ลิ่นถิ่น จ.กาญจนบุรี,4
รพ.หนองหิน,เวียงเหนือ จ.ศรีสะเกษ,6
